Lifting,Seller,Grade,Date_of_sale,Payment_receipt_date,Price,Volume,Revenue,Buyer,Destination
Jubilee 25th,GNPC,Jubilee Crude API 37.50,2015-02-05,2015-03-06,50.612,986276,49937126.43,UNIPEC,CHINA
Jubilee 26th,GNPC,Jubilee Crude API 37.40,2015-03-25,2015-04-24,52.976,988069,52422988.86,UNIPEC,CHINA
Jubilee 27th,GNPC,Jubilee Crude API 37.30,2015-05-26,2015-06-25,64.668,948230,61395996.04,UNIPEC,CHINA
Jubilee 28th,GNPC,Jubilee Crude API 37.30,2015-06-30,2015-07-30,60.722,911343,55411477.09,UNIPEC,CHINA
Jubilee 29th,GNPC,Jubilee Crude API 37.30,2015-09-09,2015-10-09,47.163,948054,44788915.12,UNIPEC,CHINA
Jubilee 30th,GNPC,Jubilee Crude API 37.40,2015-12-08,2016-01-07,37.692,948118,35736463.66,TRAFIGURA,CHINA
Jubilee 31st,GNPC,Jubilee Crude API 37.50,2016-02-02,2016-03-03,32.084,947980,30490828.72,UNIPEC,TAIWAN
Jubilee 32nd,GNPC,Jubilee Crude API 37.30,2016-05-14,2016-06-13,48.328,995152,48173318.02,UNIPEC,CHINA
Jubilee 33rd,GNPC,Jubilee Crude API 37.10,2016-08-10,2016-09-09,47.17,983847,46486770.75,UNIPEC,CHINA
Jubilee 34th,GNPC,Jubilee Crude API 36.90,2016-10-23,2016-11-22,49.324,949320,46900340.9,UNIPEC,CHINA
Jubilee 35th,GNPC,Jubilee Crude API 36.90,2016-12-27,2017-01-26,53.428,984163,52660593.8,UNIPEC,CHINA
TEN 1st,GNPC,TEN Crude API 33.60,2016-12-08,2017-01-06,51.09,996459,51008736.21,SPRINGFIELD,LOME
Jubilee 36th,GNPC,Jubilee Crude API 36.50,2017-03-09,2017-04-07,54.151,947806,51400467.19,UNIPEC,CHINA
Jubilee 37th,GNPC,Jubilee Crude API 36.70,2017-05-13,2017-06-12,48.102,948931,45721393.44,UNIPEC,CHINA
Jubilee 38th,GNPC,Jubilee Crude API 37.00,2017-07-03,2017-08-02,46.445,952938,44335440.45,UNIPEC,TAIWAN
Jubilee 39th,GNPC,Jubilee Crude API 36.70,2017-09-08,2017-10-08,56.532,953094,53956557.53,UNIPEC,CHINA
Jubilee 40th,GNPC,Jubilee Crude API 36.6,2017-10-25,2017-11-24,57.494,947648,54559885.95,UNIPEC,CHINA
Jubilee 41st,GNPC,Jubilee Crude API 36.4,2017-12-16,2018-01-15,63.869,992459,63387363.87,GLENCORE,CHINA
TEN 2nd,GNPC,TEN Blend Crude API 34.20,2017-03-20,2017-04-19,49.188,996588,49020170.54,SPRINGFIELD,CHINA 
TEN 3rd,GNPC,TEN Blend Crude API 34.40,2017-06-18,2017-07-18,45.273,995657,45175945.06,GLENCORE,ROTTERDAM 
TEN 4th,GNPC,TEN Blend Crude API 34.30,2017-10-06,2017-11-05,51.417,1038748,53461243.32,LITASCO SA,ROTTERDAM
TEN 5th,GNPC,TEN Blend Crude API 34.30,2017-12-20,2018-01-19,61.82,1007382,62326724.34,LITASCO SA,CHINA
